Comuna,Clasificacion,Nombre,Ubicacion,Has.x.comuna,Observaciones,Otros
4,Paza,Yankelevich,Pinzon 1299 / 1301,0.1038,NA,NA
4,Plaza,Gendarmeria Nacional,Pedro de Mendoza 3501,0.1353,NA,NA
4,Plaza,Casa Cuna,Montes de Oca 71 ,0.7457,NA,NA
4,Patio,Quinquela Martin,Suarez 1592,0.0455,NA,NA
4,Plazoleta,Jose Hernandez,Av Montes de Oca y Osvaldo Cruz,0.198,NA,NA
4,Plaza,Diaz Velez,Osvaldo Cruz 2201,0.6204,NA,NA
4,Plaza,Herrera,Herrera 1498,0.6051,Mejora en patio de juegos,Puesta en valor 2017/2018
4,Plazoleta,Plazoleta Vieytes,Vieytes 1103,0.0764,NA,NA
4,Parque,España,Amancio Alcorta / Baigorri / Caseros / Carrillo,5.393,NA,NA
4,Plazoleta,Mcal. Toribio de Luzuriaga,Luzuriaga / Finocchieto / Velez Sarsfield,0.1087,NA,NA
4,Plazoleta,Carlos N Vergara,Brandsen / Alcorta / Luzuriaga,0.03,NA,NA
4,Parque,Pereyra Iraola S1,Alvarado / Luzuriaga / V. Sarsfield / California,5.7782,NA,NA
4,Parque,Pereyra Iraola S2,California / V. Sarsfield / Luzuriaga / Iriarte,NA,NA,NA
4,Parque,Pereyra Iraola S3,Iriarte / V. Sarsfield / Luzuriaga / Rio Cuarto,NA,NA,NA
4,Plaza,Champagnat,Iriarte / V. Sarsfield / Rio Cuarto,0.8704,NA,NA
4,Plaza,Ntra Sra del Lujan,Spika / Luzuriaga,0.2919,NA,NA
4,Plazoleta,S/D,Lujan 2401,0.0164,NA,NA
4,Plazoleta,Osmar Maderna,Vieytes / Iriarte / San Antonio,0.2219,NA,NA
4,Plazoleta,Osmar Maderna,San Antonio / Goncalves Dias,NA,NA,NA
4,Plazoleta,Osmar Maderna,Goncalves Dias / Santa Magdalena,NA,NA,NA
4,Boulevard,Iriarte 2400-2500,Santa Magdalena y Salom,0.0298,NA,NA
4,Boulevard,Iriarte 2500-2600,Salom y Santa Maria del Buen Ayre,NA,NA,NA
4,Boulevard,Iriarte 2600-2700,Santa Maria del Buen Ayre y Santa Elena,0.221,NA,NA
4,Boulevard,Iriarte 2700-2800,Santa Elena y Perdriel,NA,NA,NA
4,Boulevard,Iriarte 2800-2850,Perdriel y Rio Limay,NA,NA,NA
4,Boulevard,Iriarte 2850-2900,Perdriel y Luzuriaga,NA,NA,NA
4,Boulevard,Iriarte 2900-3000,Luzuriaga y Velez Sarfield,NA,NA,NA
4,Boulevard,Iriarte,Velez Sarsfield hasta Luna,NA,NA,NA
4,Plaza,Agustin Magaldi,Arata / 1582,0.216,NA,NA
4,Plaza,Miguel Unamuno,Miguel Unamuno / Anibal Ponce / Coni ,0.2962,NA,NA
4,Bajo Autopista,S/D,Montes de Oca / Herrera / Osvaldo Cruz / Rio Cuarto,0.5268,NA,NA
4,Bajo Autopista,S/D,"Montes de Oca/O. Cruz/Rio Cuarto,1300",0.131,NA,NA
4,Bajo Autopista,S/D,Rio Cuarto / Herrera / Iriarte / Hornos ,0.7769,NA,NA
4,Plazoleta,De los Deportistas,Hornos / entre Iriarte y Rio Cuarto,0.0798,NA,NA
